threshhold,FRR,FAR
0.0,100.0,0.0
0.1,100.0,0.0
0.2,100.0,0.0
0.30000000000000004,100.0,0.0
0.4,100.0,0.0
0.5,100.0,0.0
0.6000000000000001,100.0,0.0
0.7000000000000001,100.0,0.0
0.8,100.0,0.0
0.9,100.0,0.0
1.0,100.0,0.0
1.1,96.0,0.0
1.2000000000000002,92.0,0.0
1.3,92.0,0.0
1.4000000000000001,92.0,0.0
1.5,88.0,0.0
1.6,88.0,0.0
1.7000000000000002,88.0,0.0
1.8,88.0,0.0
1.9000000000000001,88.0,0.0
2.0,88.0,0.0
2.1,88.0,0.0
2.2,84.0,0.0
2.3000000000000003,84.0,1.9230769230769231
2.4000000000000004,84.0,1.9230769230769231
2.5,84.0,1.9230769230769231
2.6,80.0,1.9230769230769231
2.7,76.0,1.9230769230769231
2.8000000000000003,76.0,1.9230769230769231
2.9000000000000004,72.0,1.9230769230769231
3.0,72.0,1.9230769230769231
3.1,72.0,1.9230769230769231
3.2,72.0,1.9230769230769231
3.3000000000000003,72.0,1.9230769230769231
3.4000000000000004,72.0,1.9230769230769231
3.5,72.0,1.9230769230769231
3.6,72.0,1.9230769230769231
3.7,72.0,1.9230769230769231
3.8000000000000003,72.0,1.9230769230769231
3.9000000000000004,68.0,1.9230769230769231
4.0,68.0,1.9230769230769231
4.1000000000000005,68.0,1.9230769230769231
4.2,68.0,1.9230769230769231
4.3,64.0,1.9230769230769231
4.4,64.0,1.9230769230769231
4.5,64.0,1.9230769230769231
4.6000000000000005,64.0,1.9230769230769231
4.7,64.0,1.9230769230769231
4.800000000000001,64.0,1.9230769230769231
4.9,64.0,1.9230769230769231
5.0,64.0,1.9230769230769231
5.1000000000000005,64.0,1.9230769230769231
5.2,64.0,1.9230769230769231
5.300000000000001,64.0,1.9230769230769231
5.4,64.0,1.9230769230769231
5.5,64.0,1.9230769230769231
5.6000000000000005,60.0,1.9230769230769231
5.7,60.0,1.9230769230769231
5.800000000000001,60.0,1.9230769230769231
