周波数 (Hz)	レベル (dB)
43.066406	-31.822554
86.132812	-30.218872
129.199219	-31.508192
172.265625	-37.779301
215.332031	-40.749950
258.398438	-43.280281
301.464844	-45.465309
344.531250	-43.670078
387.597656	-41.685425
430.664062	-42.001976
473.730469	-44.568794
516.796875	-47.922394
559.863281	-53.466095
602.929688	-55.107738
645.996094	-54.438671
689.062500	-54.723320
732.128906	-57.016747
775.195312	-56.987625
818.261719	-56.539135
861.328125	-58.012272
904.394531	-58.553707
947.460938	-55.753174
990.527344	-54.620033
1033.593750	-56.209328
1076.660156	-55.108845
1119.726562	-55.044647
1162.792969	-58.054039
1205.859375	-59.237984
1248.925781	-56.880501
1291.992188	-51.823803
1335.058594	-49.832134
1378.125000	-50.840084
1421.191406	-54.065765
1464.257812	-56.121296
1507.324219	-54.252609
1550.390625	-49.817554
1593.457031	-48.427177
1636.523438	-49.122829
1679.589844	-50.552113
1722.656250	-51.743637
1765.722656	-54.200420
1808.789062	-55.468712
1851.855469	-54.597252
1894.921875	-54.196484
1937.988281	-53.634918
1981.054688	-54.135036
2024.121094	-56.879715
2067.187500	-59.126343
2110.253906	-58.727642
2153.320312	-58.755520
2196.386719	-57.957890
2239.453125	-58.063862
2282.519531	-57.770092
2325.585938	-57.082329
2368.652344	-56.172493
2411.718750	-54.253868
2454.785156	-54.567707
2497.851562	-55.507095
2540.917969	-54.816776
2583.984375	-55.464676
2627.050781	-56.591446
2670.117188	-55.555630
2713.183594	-55.382587
2756.250000	-57.838757
2799.316406	-61.321205
2842.382812	-60.777233
2885.449219	-59.026806
2928.515625	-58.188587
2971.582031	-59.753300
3014.648438	-59.566925
3057.714844	-58.027050
3100.781250	-56.636692
3143.847656	-56.361195
3186.914062	-54.498135
3229.980469	-53.092987
3273.046875	-54.252834
3316.113281	-56.857555
3359.179688	-56.075012
3402.246094	-53.724976
3445.312500	-53.817722
3488.378906	-53.745407
3531.445312	-53.913280
3574.511719	-54.507782
3617.578125	-52.507553
3660.644531	-51.482899
3703.710938	-51.817963
3746.777344	-52.556614
3789.843750	-53.330292
3832.910156	-53.080341
3875.976562	-53.903774
3919.042969	-54.828041
3962.109375	-55.235241
4005.175781	-56.623501
4048.242188	-57.118092
4091.308594	-56.618145
4134.375000	-58.227333
4177.441406	-57.622444
4220.507812	-56.993950
4263.574219	-57.127800
4306.640625	-57.764893
4349.707031	-57.819923
4392.773438	-58.282738
4435.839844	-59.270309
4478.906250	-57.937897
4521.972656	-57.029922
4565.039062	-55.991550
4608.105469	-55.065079
4651.171875	-54.077503
4694.238281	-53.503300
4737.304688	-53.110313
4780.371094	-51.038528
4823.437500	-50.761383
4866.503906	-50.912037
4909.570312	-51.035789
4952.636719	-52.522392
4995.703125	-54.652687
5038.769531	-56.796494
5081.835938	-59.413059
5124.902344	-58.786755
5167.968750	-56.300339
5211.035156	-55.785400
5254.101562	-54.641251
5297.167969	-53.750084
5340.234375	-53.896725
5383.300781	-53.710632
5426.367188	-54.539074
5469.433594	-56.672440
5512.500000	-58.270126
5555.566406	-58.823292
5598.632812	-58.837757
5641.699219	-58.969040
5684.765625	-59.477978
5727.832031	-58.953110
5770.898438	-59.207085
5813.964844	-59.484867
5857.031250	-59.047855
5900.097656	-58.736607
5943.164062	-58.405037
5986.230469	-57.222439
6029.296875	-56.813740
6072.363281	-57.299999
6115.429688	-57.488754
6158.496094	-57.012939
6201.562500	-56.202450
6244.628906	-56.802135
6287.695312	-59.850304
6330.761719	-59.344925
6373.828125	-57.369701
6416.894531	-57.627758
6459.960938	-58.861645
6503.027344	-59.072567
6546.093750	-58.270927
6589.160156	-58.146088
6632.226562	-57.990520
6675.292969	-57.907227
6718.359375	-57.356846
6761.425781	-57.485916
6804.492188	-58.316196
6847.558594	-58.774250
6890.625000	-58.202641
6933.691406	-56.854240
6976.757812	-54.821880
7019.824219	-54.604874
7062.890625	-54.475784
7105.957031	-54.698872
7149.023438	-55.001911
7192.089844	-54.873821
7235.156250	-55.004200
