周波数 (Hz)	レベル (dB)
43.066406	-28.174574
86.132812	-24.668779
129.199219	-26.507360
172.265625	-33.975456
215.332031	-37.764771
258.398438	-42.008888
301.464844	-40.283180
344.531250	-38.518635
387.597656	-37.977539
430.664062	-37.727524
473.730469	-41.354485
516.796875	-46.807270
559.863281	-47.636730
602.929688	-47.996311
645.996094	-49.887169
689.062500	-50.774052
732.128906	-45.391823
775.195312	-41.465061
818.261719	-40.219276
861.328125	-43.370022
904.394531	-47.863235
947.460938	-48.321690
990.527344	-47.249851
1033.593750	-46.459126
1076.660156	-47.468727
1119.726562	-48.619537
1162.792969	-51.589928
1205.859375	-57.359875
1248.925781	-51.488247
1291.992188	-45.712406
1335.058594	-43.183430
1378.125000	-41.890690
1421.191406	-41.470493
1464.257812	-43.155556
1507.324219	-48.602501
1550.390625	-47.682854
1593.457031	-42.662319
1636.523438	-39.482403
1679.589844	-38.239006
1722.656250	-38.211113
1765.722656	-38.001335
1808.789062	-38.540016
1851.855469	-40.740021
1894.921875	-43.542194
1937.988281	-44.557877
1981.054688	-45.100578
2024.121094	-46.187050
2067.187500	-46.741245
2110.253906	-45.474483
2153.320312	-45.472569
2196.386719	-46.345364
2239.453125	-47.096931
2282.519531	-47.737297
2325.585938	-47.755688
2368.652344	-48.186661
2411.718750	-48.251842
2454.785156	-44.872967
2497.851562	-42.954823
2540.917969	-43.190651
2583.984375	-43.647087
2627.050781	-43.814480
2670.117188	-45.052364
2713.183594	-47.021339
2756.250000	-50.486538
2799.316406	-53.562382
2842.382812	-48.389297
2885.449219	-47.549469
2928.515625	-48.132202
2971.582031	-48.949997
3014.648438	-49.775105
3057.714844	-47.703217
3100.781250	-47.058537
3143.847656	-49.025841
3186.914062	-46.562706
3229.980469	-42.956013
3273.046875	-42.365093
3316.113281	-43.206108
3359.179688	-42.018040
3402.246094	-40.971817
3445.312500	-41.994686
3488.378906	-43.558369
3531.445312	-43.409771
3574.511719	-43.123383
3617.578125	-43.478195
3660.644531	-43.387768
3703.710938	-41.892670
3746.777344	-40.581871
3789.843750	-41.125252
3832.910156	-44.108303
3875.976562	-47.907471
3919.042969	-44.517609
3962.109375	-43.035122
4005.175781	-44.783463
4048.242188	-47.444489
4091.308594	-48.219311
4134.375000	-47.395531
4177.441406	-49.160641
4220.507812	-52.657810
4263.574219	-49.792503
4306.640625	-47.906742
4349.707031	-44.713978
4392.773438	-42.871441
4435.839844	-43.415905
4478.906250	-44.838051
4521.972656	-47.112713
4565.039062	-49.382881
4608.105469	-49.030884
4651.171875	-48.738346
4694.238281	-50.125687
4737.304688	-48.713249
4780.371094	-46.607178
4823.437500	-47.631130
4866.503906	-46.602390
4909.570312	-44.146618
4952.636719	-42.630898
4995.703125	-42.319492
5038.769531	-42.821075
5081.835938	-44.320526
5124.902344	-47.409958
5167.968750	-53.063705
5211.035156	-52.836163
5254.101562	-47.697170
5297.167969	-44.681629
5340.234375	-43.560009
5383.300781	-44.030704
5426.367188	-45.190231
5469.433594	-46.279881
5512.500000	-46.322247
5555.566406	-46.423637
5598.632812	-47.042652
5641.699219	-48.387035
