周波数 (Hz)	レベル (dB)
43.066406	-29.802614
86.132812	-25.671684
129.199219	-27.490929
172.265625	-35.324215
215.332031	-38.268620
258.398438	-41.894939
301.464844	-40.262245
344.531250	-38.523293
387.597656	-38.827084
430.664062	-39.614155
473.730469	-43.477810
516.796875	-48.702164
559.863281	-49.951515
602.929688	-51.234379
645.996094	-52.731091
689.062500	-49.892456
732.128906	-42.954010
775.195312	-38.914597
818.261719	-37.967602
861.328125	-41.334686
904.394531	-47.264488
947.460938	-52.749580
990.527344	-51.253109
1033.593750	-46.217133
1076.660156	-45.032402
1119.726562	-46.855747
1162.792969	-48.098606
1205.859375	-47.644299
1248.925781	-46.128498
1291.992188	-44.237938
1335.058594	-43.182686
1378.125000	-41.052898
1421.191406	-40.179585
1464.257812	-42.234394
1507.324219	-48.295986
1550.390625	-44.362930
1593.457031	-41.748440
1636.523438	-41.851925
1679.589844	-41.943096
1722.656250	-40.124393
1765.722656	-38.754444
1808.789062	-39.099129
1851.855469	-41.659279
1894.921875	-46.040237
1937.988281	-49.736591
1981.054688	-46.528732
2024.121094	-43.692131
2067.187500	-42.371284
2110.253906	-42.056282
2153.320312	-42.978706
2196.386719	-45.220207
2239.453125	-48.530823
2282.519531	-50.348618
2325.585938	-47.674217
2368.652344	-47.579105
2411.718750	-47.583668
2454.785156	-45.995331
2497.851562	-43.604557
2540.917969	-41.899204
2583.984375	-42.495956
2627.050781	-44.589745
2670.117188	-45.957489
2713.183594	-45.512871
2756.250000	-47.124435
2799.316406	-47.489357
2842.382812	-44.675076
2885.449219	-43.163921
2928.515625	-43.143822
2971.582031	-43.224163
3014.648438	-44.340759
3057.714844	-45.603821
3100.781250	-45.739952
3143.847656	-45.672787
3186.914062	-47.813560
3229.980469	-48.985622
3273.046875	-47.624973
3316.113281	-43.024803
3359.179688	-40.261860
3402.246094	-40.012569
3445.312500	-41.225227
3488.378906	-42.518513
3531.445312	-43.223076
3574.511719	-43.304375
3617.578125	-42.871437
3660.644531	-43.768406
3703.710938	-45.930183
3746.777344	-48.787758
3789.843750	-50.193127
3832.910156	-49.726765
3875.976562	-49.200214
3919.042969	-49.462200
3962.109375	-50.397011
4005.175781	-49.174419
4048.242188	-46.718372
4091.308594	-44.456322
4134.375000	-42.383659
4177.441406	-41.594345
4220.507812	-42.088001
4263.574219	-43.346825
4306.640625	-45.779842
4349.707031	-46.756153
4392.773438	-46.559242
4435.839844	-48.283756
4478.906250	-47.888847
4521.972656	-47.006512
4565.039062	-47.762497
4608.105469	-50.400658
4651.171875	-47.153316
4694.238281	-44.227448
4737.304688	-45.681316
4780.371094	-48.187119
4823.437500	-45.046188
4866.503906	-42.659306
4909.570312	-44.075306
4952.636719	-45.461296
4995.703125	-42.951103
5038.769531	-42.342316
5081.835938	-44.234230
5124.902344	-45.239738
5167.968750	-45.572926
5211.035156	-44.476135
5254.101562	-42.101990
5297.167969	-41.876011
5340.234375	-44.874832
5383.300781	-49.362537
5426.367188	-50.047581
5469.433594	-47.579311
5512.500000	-45.794884
5555.566406	-46.622547
5598.632812	-49.792057
5641.699219	-50.981949
5684.765625	-50.868114
5727.832031	-52.258472
5770.898438	-52.943638
5813.964844	-51.313915
5857.031250	-49.849689
5900.097656	-49.258713
5943.164062	-48.344597
5986.230469	-46.556606
6029.296875	-45.122219
6072.363281	-45.401970
6115.429688	-47.323524
6158.496094	-48.328590
6201.562500	-46.066547
6244.628906	-46.207634
6287.695312	-50.430271
6330.761719	-51.654694
6373.828125	-49.859657
6416.894531	-49.615616
6459.960938	-51.493423
6503.027344	-53.756615
6546.093750	-50.794109
6589.160156	-49.645462
6632.226562	-53.671799
6675.292969	-55.918556
6718.359375	-50.452209
6761.425781	-50.386265
6804.492188	-51.658890
6847.558594	-51.386902
6890.625000	-49.715260
6933.691406	-49.034241
6976.757812	-49.039017
7019.824219	-48.773106
7062.890625	-48.260361
7105.957031	-49.240437
7149.023438	-47.760216
7192.089844	-44.290527
7235.156250	-43.144718
7278.222656	-44.568130
7321.289062	-45.830753
7364.355469	-44.037380
7407.421875	-42.740005
7450.488281	-43.681751
