周波数 (Hz)	レベル (dB)
43.066406	-29.260309
86.132812	-26.767319
129.199219	-29.033766
172.265625	-36.342018
215.332031	-41.418194
258.398438	-43.058247
301.464844	-42.091480
344.531250	-39.017590
387.597656	-37.801361
430.664062	-38.255135
473.730469	-40.531105
516.796875	-44.502426
559.863281	-47.489494
602.929688	-49.106060
645.996094	-46.988960
689.062500	-45.075317
732.128906	-45.898937
775.195312	-48.134178
818.261719	-45.010273
861.328125	-42.451839
904.394531	-42.249058
947.460938	-44.149536
990.527344	-45.881500
1033.593750	-48.533871
1076.660156	-51.523602
1119.726562	-51.395458
1162.792969	-48.716095
1205.859375	-45.164951
1248.925781	-43.226044
1291.992188	-43.730145
1335.058594	-48.609058
1378.125000	-52.525188
1421.191406	-50.069614
1464.257812	-50.993675
1507.324219	-49.709747
1550.390625	-46.490849
1593.457031	-44.387024
1636.523438	-44.010380
1679.589844	-44.983662
1722.656250	-46.103146
1765.722656	-46.722122
1808.789062	-52.217896
1851.855469	-49.508018
1894.921875	-45.785950
1937.988281	-48.853813
1981.054688	-49.725914
2024.121094	-46.232056
2067.187500	-43.872940
2110.253906	-43.788048
2153.320312	-46.979813
2196.386719	-51.726910
2239.453125	-45.834190
2282.519531	-44.999195
2325.585938	-46.615673
2368.652344	-48.118557
2411.718750	-50.110874
2454.785156	-47.229576
2497.851562	-44.165028
2540.917969	-43.348022
2583.984375	-41.751709
2627.050781	-39.616451
2670.117188	-39.423191
2713.183594	-41.131042
2756.250000	-45.440678
2799.316406	-51.612587
2842.382812	-47.710430
2885.449219	-48.619526
2928.515625	-47.426956
2971.582031	-42.025913
3014.648438	-42.353207
3057.714844	-46.621689
3100.781250	-47.360207
3143.847656	-44.196331
3186.914062	-42.878754
3229.980469	-44.936157
3273.046875	-48.266937
3316.113281	-50.460205
3359.179688	-51.538010
3402.246094	-47.545170
3445.312500	-44.752922
3488.378906	-44.406349
3531.445312	-47.211674
3574.511719	-54.733528
3617.578125	-51.079643
3660.644531	-51.170502
3703.710938	-49.875050
3746.777344	-48.043247
3789.843750	-47.224682
3832.910156	-47.504204
3875.976562	-48.265556
3919.042969	-48.802372
3962.109375	-49.550236
4005.175781	-51.227322
4048.242188	-55.350185
4091.308594	-55.626152
4134.375000	-54.335873
4177.441406	-54.273388
4220.507812	-50.514359
4263.574219	-47.755539
4306.640625	-47.379997
4349.707031	-49.080925
4392.773438	-53.150654
4435.839844	-56.086571
4478.906250	-50.396515
4521.972656	-47.731827
4565.039062	-49.646130
4608.105469	-51.129162
4651.171875	-51.929749
4694.238281	-49.656124
4737.304688	-47.856461
4780.371094	-46.494976
4823.437500	-45.050484
4866.503906	-44.476509
4909.570312	-45.185905
4952.636719	-45.579105
4995.703125	-45.065208
5038.769531	-43.472969
5081.835938	-43.858139
5124.902344	-48.875381
5167.968750	-51.959301
5211.035156	-50.648979
5254.101562	-52.447506
5297.167969	-50.638111
5340.234375	-48.003166
5383.300781	-48.500526
5426.367188	-49.502056
5469.433594	-48.741264
5512.500000	-49.551746
5555.566406	-51.445992
5598.632812	-53.626926
5641.699219	-53.892750
5684.765625	-51.255184
5727.832031	-49.564018
5770.898438	-50.605015
5813.964844	-50.396782
5857.031250	-50.414055
5900.097656	-53.198349
5943.164062	-55.232090
5986.230469	-51.788471
6029.296875	-50.287552
6072.363281	-52.511486
6115.429688	-54.344818
6158.496094	-53.442616
6201.562500	-51.223083
6244.628906	-48.098045
6287.695312	-46.333748
6330.761719	-45.025387
