周波数 (Hz)	レベル (dB)
43.066406	-28.562456
86.132812	-25.856144
129.199219	-28.103584
172.265625	-37.351170
215.332031	-43.934277
258.398438	-48.065029
301.464844	-45.093128
344.531250	-42.485416
387.597656	-41.615997
430.664062	-42.452232
473.730469	-45.756031
516.796875	-49.111805
559.863281	-49.128548
602.929688	-53.509815
645.996094	-49.995972
689.062500	-48.899010
732.128906	-49.331394
775.195312	-47.153954
818.261719	-46.299465
861.328125	-50.808216
904.394531	-55.642426
947.460938	-50.853458
990.527344	-48.548172
1033.593750	-50.357498
1076.660156	-53.666775
1119.726562	-51.314598
1162.792969	-51.619778
1205.859375	-49.826488
1248.925781	-45.553276
1291.992188	-44.775703
1335.058594	-47.354706
1378.125000	-50.334427
1421.191406	-52.600945
1464.257812	-54.359947
1507.324219	-54.023960
1550.390625	-56.142200
1593.457031	-51.890812
1636.523438	-47.825108
1679.589844	-48.315014
1722.656250	-50.256775
1765.722656	-49.314453
1808.789062	-47.810566
1851.855469	-48.380592
1894.921875	-51.400410
1937.988281	-53.249416
1981.054688	-52.674545
2024.121094	-52.255585
2067.187500	-50.524647
2110.253906	-47.935436
2153.320312	-46.734138
2196.386719	-46.545937
2239.453125	-45.335617
2282.519531	-44.433632
2325.585938	-44.302555
2368.652344	-42.974503
2411.718750	-43.199467
2454.785156	-43.980045
2497.851562	-45.214504
2540.917969	-45.641094
2583.984375	-44.637497
2627.050781	-43.055229
2670.117188	-41.959686
2713.183594	-41.709126
2756.250000	-41.269196
2799.316406	-42.619267
2842.382812	-46.204082
2885.449219	-49.719646
2928.515625	-50.837387
2971.582031	-45.596184
3014.648438	-41.537323
3057.714844	-40.627865
3100.781250	-41.622173
3143.847656	-43.026840
3186.914062	-42.128685
3229.980469	-41.151394
3273.046875	-41.082661
3316.113281	-41.214489
3359.179688	-42.116573
3402.246094	-44.071537
3445.312500	-45.246944
3488.378906	-46.111206
3531.445312	-45.879013
3574.511719	-44.274876
3617.578125	-45.039101
3660.644531	-47.853569
3703.710938	-48.128246
3746.777344	-45.946228
3789.843750	-44.491367
3832.910156	-44.992149
3875.976562	-47.592690
3919.042969	-49.197697
3962.109375	-48.308483
4005.175781	-46.791645
4048.242188	-47.716866
4091.308594	-49.265030
4134.375000	-50.461040
4177.441406	-50.401180
4220.507812	-49.516926
4263.574219	-51.162052
4306.640625	-50.744568
4349.707031	-50.357685
4392.773438	-50.352211
4435.839844	-50.796452
4478.906250	-53.237232
4521.972656	-53.709724
4565.039062	-50.818756
4608.105469	-49.362701
4651.171875	-49.141285
4694.238281	-52.131706
4737.304688	-51.201546
4780.371094	-47.505081
4823.437500	-45.715172
4866.503906	-46.095028
4909.570312	-47.883904
4952.636719	-47.511848
4995.703125	-47.678066
5038.769531	-48.607800
5081.835938	-49.018017
5124.902344	-51.092144
5167.968750	-51.938519
5211.035156	-50.848381
5254.101562	-50.395332
5297.167969	-50.978424
5340.234375	-52.517475
5383.300781	-54.786270
5426.367188	-53.765987
5469.433594	-51.909626
5512.500000	-48.662643
5555.566406	-47.390034
5598.632812	-46.826340
5641.699219	-47.348488
5684.765625	-49.619091
5727.832031	-49.879417
5770.898438	-49.025650
5813.964844	-51.421291
5857.031250	-54.137802
5900.097656	-53.447178
5943.164062	-55.299198
5986.230469	-54.689949
6029.296875	-53.363342
6072.363281	-55.952251
6115.429688	-56.043919
6158.496094	-50.598827
6201.562500	-46.958561
6244.628906	-46.048435
6287.695312	-46.907543
6330.761719	-47.383251
6373.828125	-47.255085
6416.894531	-48.120499
6459.960938	-51.976967
6503.027344	-54.381500
6546.093750	-50.399330
6589.160156	-49.349388
6632.226562	-51.073936
6675.292969	-50.998405
6718.359375	-50.303814
6761.425781	-52.538593
6804.492188	-52.591969
6847.558594	-52.292007
6890.625000	-49.270973
6933.691406	-47.978188
6976.757812	-48.841515
7019.824219	-50.296055
7062.890625	-51.039814
7105.957031	-50.865601
7149.023438	-50.478870
7192.089844	-48.416698
7235.156250	-47.833031
7278.222656	-47.059055
7321.289062	-46.651108
7364.355469	-47.438824
7407.421875	-49.291733
7450.488281	-50.800812
7493.554688	-52.026028
7536.621094	-53.767632
7579.687500	-54.282726
7622.753906	-56.163631
7665.820312	-56.295124
7708.886719	-56.880638
7751.953125	-53.192451
7795.019531	-51.280628
7838.085938	-50.912403
7881.152344	-50.331905
7924.218750	-51.242302
7967.285156	-50.789036
8010.351562	-49.422497
8053.417969	-50.801865
8096.484375	-52.268272
8139.550781	-53.558430
8182.617188	-53.353088
8225.683594	-51.263859
8268.750000	-51.508453
8311.816406	-53.039623
8354.882812	-51.697338
8397.949219	-50.165596
8441.015625	-48.684227
8484.082031	-48.074596
8527.148438	-47.886517
8570.214844	-47.998962
8613.281250	-48.891754
8656.347656	-49.763527
8699.414062	-48.923290
8742.480469	-47.188835
8785.546875	-47.948120
8828.613281	-49.717003
8871.679688	-51.255333
8914.746094	-51.824314
8957.812500	-52.358410
9000.878906	-54.758152
9043.945312	-53.111401
9087.011719	-47.932987
9130.078125	-47.452240
9173.144531	-47.893364
9216.210938	-50.250507
9259.277344	-54.144539
9302.343750	-51.719761
9345.410156	-51.192513
9388.476562	-52.991161
9431.542969	-52.903202
9474.609375	-52.016308
9517.675781	-50.584850
9560.742188	-47.716843
9603.808594	-48.330128
9646.875000	-50.715439
9689.941406	-49.449093
9733.007812	-47.185349
9776.074219	-45.612759
9819.140625	-44.135067
9862.207031	-43.305153
9905.273438	-44.597424
9948.339844	-47.650009
9991.406250	-48.412052
10034.472656	-47.102859
10077.539062	-44.632877
10120.605469	-44.988636
10163.671875	-48.339821
10206.738281	-51.655499
10249.804688	-46.916401
10292.871094	-45.655472
10335.937500	-45.995182
10379.003906	-45.610195
10422.070312	-46.145012
10465.136719	-47.158527
10508.203125	-46.680748
10551.269531	-47.008167
10594.335938	-48.097919
10637.402344	-49.319691
10680.468750	-49.952820
10723.535156	-49.740013
10766.601562	-48.028801
10809.667969	-45.289886
10852.734375	-43.414642
10895.800781	-43.968628
10938.867188	-47.480370
10981.933594	-48.696037
11025.000000	-49.621296
11068.066406	-51.205761
11111.132812	-46.041954
11154.199219	-43.515182
11197.265625	-42.466934
11240.332031	-43.278366
11283.398438	-45.191521
11326.464844	-45.567715
11369.531250	-46.934380
11412.597656	-46.487236
11455.664062	-45.242737
11498.730469	-44.932991
11541.796875	-48.174095
11584.863281	-48.551483
11627.929688	-45.926487
11670.996094	-45.089870
11714.062500	-44.523663
11757.128906	-46.168926
11800.195312	-47.648361
11843.261719	-46.733429
11886.328125	-46.606815
11929.394531	-46.533802
11972.460938	-43.755989
12015.527344	-42.960609
12058.593750	-42.000416
12101.660156	-40.871098
12144.726562	-41.783562
12187.792969	-44.310207
12230.859375	-43.702755
12273.925781	-43.483814
12316.992188	-45.059376
12360.058594	-45.420635
12403.125000	-46.231026
12446.191406	-50.195721
12489.257812	-51.421284
12532.324219	-49.333179
12575.390625	-46.221210
12618.457031	-45.398258
12661.523438	-46.147808
12704.589844	-44.929981
12747.656250	-43.973343
12790.722656	-43.802528
12833.789062	-44.570869
12876.855469	-46.853355
12919.921875	-46.569466
12962.988281	-43.546310
13006.054688	-40.987034
13049.121094	-39.019264
13092.187500	-38.078121
13135.253906	-38.994251
13178.320312	-40.568043
13221.386719	-40.725796
13264.453125	-38.944324
13307.519531	-37.930695
13350.585938	-38.954048
13393.652344	-42.172523
13436.718750	-45.438164
13479.785156	-44.814236
13522.851562	-45.244587
13565.917969	-45.837299
13608.984375	-44.882439
13652.050781	-44.419403
13695.117188	-43.668282
13738.183594	-44.858978
13781.250000	-44.501873
13824.316406	-42.738045
13867.382812	-42.761597
13910.449219	-41.590336
13953.515625	-40.301960
13996.582031	-42.663231
14039.648438	-42.137325
14082.714844	-39.085682
14125.781250	-39.518452
14168.847656	-40.623470
14211.914062	-39.942490
14254.980469	-38.605686
14298.046875	-38.810055
14341.113281	-40.398357
14384.179688	-42.174297
14427.246094	-42.830608
14470.312500	-42.506966
14513.378906	-42.220398
14556.445312	-43.298141
14599.511719	-43.243069
14642.578125	-39.243267
14685.644531	-38.658501
14728.710938	-41.917870
14771.777344	-48.549503
14814.843750	-49.263687
14857.910156	-46.627800
14900.976562	-44.281120
14944.042969	-41.807007
14987.109375	-39.959663
15030.175781	-37.939659
15073.242188	-36.313595
15116.308594	-35.921879
15159.375000	-37.170658
15202.441406	-38.518246
15245.507812	-39.144909
15288.574219	-41.887394
15331.640625	-43.579933
15374.707031	-42.668865
15417.773438	-41.518993
15460.839844	-42.910595
15503.906250	-43.953140
15546.972656	-42.242809
15590.039062	-38.238621
15633.105469	-36.910461
15676.171875	-39.567902
15719.238281	-40.954552
15762.304688	-38.144978
15805.371094	-38.543358
15848.437500	-35.558037
15891.503906	-32.661747
15934.570312	-33.366692
15977.636719	-36.352982
16020.703125	-37.583988
16063.769531	-38.291172
16106.835938	-37.705109
16149.902344	-37.002335
16192.968750	-37.688843
16236.035156	-39.900360
16279.101562	-39.759338
16322.167969	-38.914215
16365.234375	-38.585007
16408.300781	-39.255016
16451.367188	-38.670601
16494.433594	-37.696182
16537.500000	-37.666836
16580.566406	-37.111973
16623.632812	-36.607956
16666.699219	-34.939163
16709.765625	-34.572613
16752.832031	-37.319447
16795.898438	-40.016560
16838.964844	-38.716187
16882.031250	-37.940979
16925.097656	-36.627243
16968.164062	-35.336559
17011.230469	-35.056999
17054.296875	-34.412769
17097.363281	-34.473660
17140.429688	-35.265800
17183.496094	-35.282150
17226.562500	-34.822083
17269.628906	-35.465031
17312.695312	-36.116589
17355.761719	-37.261944
17398.828125	-35.847202
17441.894531	-34.847107
17484.960938	-36.445412
17528.027344	-40.243679
17571.093750	-41.338139
17614.160156	-38.926910
17657.226562	-37.419731
17700.292969	-36.931461
17743.359375	-35.159981
17786.425781	-35.270782
17829.492188	-37.874195
17872.558594	-39.811497
17915.625000	-39.875591
17958.691406	-39.371738
18001.757812	-38.634674
18044.824219	-39.429768
18087.890625	-41.194893
18130.957031	-40.427944
18174.023438	-39.496750
18217.089844	-40.536972
18260.156250	-42.059700
18303.222656	-42.048771
18346.289062	-42.739361
18389.355469	-44.921673
18432.421875	-44.232574
18475.488281	-42.621075
18518.554688	-40.911106
18561.621094	-42.869785
18604.687500	-44.320332
18647.753906	-46.749416
18690.820312	-43.848637
18733.886719	-42.724415
18776.953125	-43.347851
18820.019531	-42.683521
18863.085938	-44.509655
18906.152344	-46.968616
18949.218750	-45.590698
18992.285156	-45.923946
19035.351562	-43.313080
19078.417969	-41.728256
19121.484375	-41.706783
19164.550781	-44.183613
19207.617188	-48.147537
19250.683594	-47.873875
19293.750000	-49.562778
19336.816406	-49.690533
19379.882812	-46.854046
19422.949219	-43.714966
19466.015625	-39.777500
19509.082031	-38.721550
19552.148438	-38.719307
19595.214844	-39.130974
19638.281250	-41.868462
19681.347656	-45.234035
19724.414062	-45.593525
19767.480469	-46.670448
19810.546875	-46.028370
19853.613281	-43.335377
19896.679688	-43.723335
19939.746094	-44.257988
19982.812500	-43.022999
20025.878906	-43.152039
20068.945312	-42.991608
20112.011719	-40.540905
20155.078125	-39.107967
20198.144531	-39.894966
20241.210938	-42.192936
20284.277344	-44.409840
20327.343750	-44.699326
20370.410156	-42.206772
20413.476562	-39.845200
20456.542969	-39.991810
20499.609375	-42.239902
20542.675781	-44.972527
20585.742188	-47.305225
20628.808594	-48.783211
20671.875000	-48.546200
20714.941406	-45.734360
20758.007812	-43.964588
20801.074219	-44.229233
20844.140625	-44.134315
20887.207031	-43.280083
20930.273438	-42.304592
20973.339844	-42.364651
21016.406250	-44.183102
21059.472656	-45.280212
21102.539062	-45.569191
21145.605469	-46.936771
21188.671875	-47.823051
21231.738281	-47.152355
21274.804688	-45.969860
21317.871094	-44.879711
21360.937500	-43.243130
21404.003906	-43.075760
21447.070312	-44.038708
21490.136719	-44.256195
21533.203125	-43.369087
21576.269531	-42.760353
21619.335938	-42.851349
21662.402344	-43.836266
21705.468750	-44.942928
21748.535156	-45.833931
21791.601562	-47.819473
21834.667969	-49.604679
21877.734375	-49.534992
21920.800781	-48.109234
21963.867188	-44.416527
22006.933594	-41.935646
