周波数 (Hz)	レベル (dB)
43.066406	-27.509491
86.132812	-26.993200
129.199219	-28.196785
172.265625	-35.156822
215.332031	-43.951908
258.398438	-50.122303
301.464844	-48.601799
344.531250	-47.895435
387.597656	-46.761875
430.664062	-47.051228
473.730469	-50.268799
516.796875	-53.783566
559.863281	-58.498127
602.929688	-61.098324
645.996094	-63.629612
689.062500	-63.168549
732.128906	-62.927689
775.195312	-63.548313
818.261719	-60.866261
861.328125	-58.602852
904.394531	-57.695232
947.460938	-57.896889
990.527344	-52.312695
1033.593750	-49.804192
1076.660156	-51.553116
1119.726562	-55.626896
1162.792969	-57.797161
1205.859375	-54.553978
1248.925781	-51.691685
1291.992188	-51.652580
1335.058594	-53.546219
1378.125000	-54.630772
1421.191406	-57.262768
1464.257812	-56.444633
1507.324219	-53.795334
1550.390625	-53.188972
1593.457031	-54.274673
1636.523438	-53.120476
1679.589844	-51.143604
1722.656250	-51.075886
1765.722656	-52.203251
1808.789062	-55.980946
1851.855469	-58.780354
1894.921875	-57.582161
1937.988281	-56.266483
1981.054688	-54.450859
2024.121094	-52.677166
2067.187500	-54.129349
2110.253906	-58.942356
2153.320312	-58.925747
2196.386719	-55.712776
2239.453125	-55.145500
2282.519531	-53.354870
2325.585938	-51.407795
2368.652344	-51.038986
2411.718750	-51.983440
2454.785156	-53.851074
2497.851562	-54.484360
2540.917969	-55.464664
2583.984375	-56.105434
2627.050781	-55.313133
2670.117188	-53.778461
2713.183594	-52.455814
2756.250000	-52.984501
2799.316406	-55.924244
2842.382812	-57.011314
2885.449219	-55.803051
2928.515625	-55.443890
2971.582031	-55.205235
3014.648438	-53.519547
3057.714844	-52.704266
3100.781250	-54.544655
3143.847656	-57.978622
3186.914062	-55.288319
3229.980469	-52.987995
3273.046875	-51.640446
3316.113281	-53.780571
3359.179688	-55.423492
3402.246094	-53.150944
3445.312500	-55.947121
3488.378906	-54.390423
3531.445312	-50.904778
3574.511719	-48.596207
3617.578125	-48.722092
3660.644531	-50.331200
3703.710938	-51.324051
3746.777344	-51.988255
3789.843750	-52.720905
3832.910156	-52.250042
3875.976562	-52.985439
3919.042969	-54.207378
3962.109375	-54.343151
4005.175781	-54.889839
4048.242188	-56.442566
4091.308594	-57.809948
4134.375000	-60.808697
4177.441406	-60.007133
4220.507812	-57.947262
4263.574219	-56.146263
4306.640625	-53.761810
4349.707031	-51.398659
4392.773438	-51.378582
4435.839844	-53.098724
4478.906250	-56.500591
4521.972656	-55.842781
4565.039062	-53.161205
4608.105469	-51.505791
4651.171875	-50.714573
4694.238281	-51.400360
4737.304688	-51.142658
4780.371094	-49.012611
4823.437500	-47.605896
4866.503906	-47.143677
4909.570312	-47.960526
4952.636719	-49.663452
4995.703125	-51.275700
5038.769531	-51.862961
5081.835938	-52.872566
5124.902344	-56.206966
5167.968750	-58.813572
5211.035156	-55.985275
5254.101562	-54.361000
5297.167969	-54.774548
5340.234375	-56.260532
5383.300781	-56.588127
5426.367188	-58.289906
5469.433594	-57.464451
5512.500000	-56.199684
5555.566406	-58.160892
5598.632812	-59.988667
5641.699219	-60.354816
5684.765625	-57.581329
5727.832031	-56.369022
5770.898438	-56.427917
5813.964844	-57.092766
5857.031250	-59.464165
5900.097656	-62.134029
5943.164062	-62.610149
5986.230469	-60.165829
6029.296875	-56.676132
6072.363281	-55.500984
6115.429688	-56.245201
6158.496094	-59.796883
6201.562500	-61.212540
6244.628906	-59.566269
6287.695312	-57.842583
6330.761719	-59.275898
6373.828125	-59.442043
6416.894531	-57.000675
6459.960938	-54.531288
6503.027344	-53.522797
6546.093750	-55.511570
6589.160156	-58.942623
6632.226562	-55.883091
6675.292969	-52.894936
6718.359375	-54.150421
6761.425781	-55.401295
6804.492188	-57.650417
6847.558594	-61.123238
6890.625000	-56.456768
6933.691406	-53.147903
6976.757812	-51.804855
7019.824219	-51.677589
7062.890625	-51.064018
7105.957031	-50.073814
7149.023438	-49.837452
7192.089844	-50.232719
7235.156250	-49.811543
7278.222656	-51.147064
7321.289062	-53.513184
7364.355469	-55.295780
7407.421875	-55.590649
7450.488281	-55.821793
7493.554688	-55.612556
7536.621094	-55.669834
7579.687500	-55.481674
7622.753906	-54.605217
7665.820312	-55.359093
7708.886719	-55.856339
7751.953125	-54.038647
7795.019531	-53.923332
7838.085938	-55.196453
7881.152344	-55.043903
7924.218750	-55.104527
7967.285156	-56.131809
8010.351562	-57.154713
8053.417969	-57.584225
8096.484375	-56.214275
8139.550781	-54.135170
8182.617188	-53.735859
8225.683594	-55.841595
8268.750000	-59.355297
8311.816406	-57.962906
8354.882812	-55.422626
8397.949219	-55.192532
8441.015625	-56.219597
8484.082031	-56.812061
8527.148438	-57.636623
8570.214844	-57.600189
8613.281250	-57.289070
8656.347656	-57.000103
8699.414062	-56.195362
8742.480469	-55.118320
8785.546875	-54.198772
8828.613281	-54.107586
