threshhold,FRR,FAR
0.0,100.0,0.0
0.1,95.65217391304348,0.0
0.2,91.30434782608695,0.0
0.30000000000000004,91.30434782608695,0.0
0.4,86.95652173913044,0.0
0.5,86.95652173913044,0.0
0.6000000000000001,86.95652173913044,0.0
0.7000000000000001,86.95652173913044,0.0
0.8,86.95652173913044,0.0
0.9,82.6086956521739,0.0
1.0,82.6086956521739,0.0
1.1,82.6086956521739,0.0
1.2000000000000002,78.26086956521739,5.555555555555555
1.3,78.26086956521739,7.4074074074074066
1.4000000000000001,78.26086956521739,7.4074074074074066
1.5,78.26086956521739,7.4074074074074066
1.6,78.26086956521739,9.25925925925926
1.7000000000000002,78.26086956521739,11.11111111111111
1.8,78.26086956521739,11.11111111111111
1.9000000000000001,73.91304347826086,11.11111111111111
2.0,73.91304347826086,11.11111111111111
2.1,73.91304347826086,12.962962962962962
2.2,73.91304347826086,12.962962962962962
2.3000000000000003,73.91304347826086,14.814814814814813
2.4000000000000004,73.91304347826086,14.814814814814813
2.5,73.91304347826086,16.666666666666664
2.6,73.91304347826086,18.51851851851852
2.7,65.21739130434783,18.51851851851852
2.8000000000000003,65.21739130434783,18.51851851851852
2.9000000000000004,60.86956521739131,18.51851851851852
3.0,60.86956521739131,20.37037037037037
3.1,60.86956521739131,20.37037037037037
3.2,60.86956521739131,22.22222222222222
3.3000000000000003,60.86956521739131,22.22222222222222
3.4000000000000004,60.86956521739131,22.22222222222222
3.5,60.86956521739131,22.22222222222222
3.6,56.52173913043478,22.22222222222222
3.7,56.52173913043478,22.22222222222222
3.8000000000000003,56.52173913043478,22.22222222222222
3.9000000000000004,56.52173913043478,24.074074074074073
4.0,56.52173913043478,24.074074074074073
4.1000000000000005,56.52173913043478,24.074074074074073
4.2,56.52173913043478,25.925925925925924
4.3,56.52173913043478,25.925925925925924
4.4,52.17391304347826,25.925925925925924
4.5,52.17391304347826,25.925925925925924
4.6000000000000005,52.17391304347826,25.925925925925924
4.7,52.17391304347826,27.77777777777778
4.800000000000001,52.17391304347826,27.77777777777778
4.9,52.17391304347826,27.77777777777778
5.0,52.17391304347826,27.77777777777778
5.1000000000000005,52.17391304347826,27.77777777777778
5.2,52.17391304347826,27.77777777777778
5.300000000000001,52.17391304347826,27.77777777777778
5.4,52.17391304347826,27.77777777777778
5.5,52.17391304347826,27.77777777777778
5.6000000000000005,52.17391304347826,27.77777777777778
5.7,52.17391304347826,27.77777777777778
5.800000000000001,52.17391304347826,27.77777777777778
5.9,52.17391304347826,27.77777777777778
6.0,52.17391304347826,27.77777777777778
6.1000000000000005,52.17391304347826,27.77777777777778
6.2,52.17391304347826,27.77777777777778
6.300000000000001,47.82608695652174,27.77777777777778
6.4,47.82608695652174,27.77777777777778
6.5,47.82608695652174,27.77777777777778
6.6000000000000005,43.47826086956522,29.629629629629626
6.7,43.47826086956522,29.629629629629626
6.800000000000001,43.47826086956522,29.629629629629626
6.9,43.47826086956522,29.629629629629626
7.0,43.47826086956522,31.48148148148148
7.1000000000000005,43.47826086956522,31.48148148148148
7.2,39.130434782608695,31.48148148148148
7.300000000000001,34.78260869565217,31.48148148148148
7.4,34.78260869565217,31.48148148148148
7.5,34.78260869565217,31.48148148148148
7.6000000000000005,34.78260869565217,33.33333333333333
7.7,34.78260869565217,33.33333333333333
7.800000000000001,34.78260869565217,33.33333333333333
7.9,34.78260869565217,33.33333333333333
8.0,34.78260869565217,33.33333333333333
8.1,34.78260869565217,33.33333333333333
8.200000000000001,34.78260869565217,33.33333333333333
8.3,34.78260869565217,33.33333333333333
8.4,34.78260869565217,35.18518518518518
8.5,34.78260869565217,35.18518518518518
8.6,34.78260869565217,35.18518518518518
8.700000000000001,34.78260869565217,35.18518518518518
8.8,34.78260869565217,35.18518518518518
8.9,34.78260869565217,35.18518518518518
9.0,34.78260869565217,35.18518518518518
9.1,34.78260869565217,35.18518518518518
9.200000000000001,34.78260869565217,35.18518518518518
9.3,34.78260869565217,35.18518518518518
9.4,34.78260869565217,35.18518518518518
9.5,34.78260869565217,35.18518518518518
9.600000000000001,34.78260869565217,35.18518518518518
9.700000000000001,34.78260869565217,35.18518518518518
9.8,34.78260869565217,35.18518518518518
9.9,34.78260869565217,35.18518518518518
10.0,34.78260869565217,35.18518518518518
10.100000000000001,34.78260869565217,35.18518518518518
10.200000000000001,30.434782608695656,35.18518518518518
10.3,30.434782608695656,37.03703703703704
10.4,30.434782608695656,37.03703703703704
10.5,30.434782608695656,37.03703703703704
10.600000000000001,30.434782608695656,37.03703703703704
10.700000000000001,30.434782608695656,37.03703703703704
10.8,30.434782608695656,37.03703703703704
10.9,30.434782608695656,37.03703703703704
11.0,26.08695652173913,37.03703703703704
11.100000000000001,26.08695652173913,37.03703703703704
11.200000000000001,26.08695652173913,37.03703703703704
11.3,26.08695652173913,37.03703703703704
11.4,26.08695652173913,37.03703703703704
11.5,26.08695652173913,37.03703703703704
11.600000000000001,26.08695652173913,37.03703703703704
11.700000000000001,26.08695652173913,37.03703703703704
11.8,26.08695652173913,37.03703703703704
11.9,26.08695652173913,37.03703703703704
12.0,26.08695652173913,37.03703703703704
12.100000000000001,26.08695652173913,37.03703703703704
12.200000000000001,26.08695652173913,37.03703703703704
12.3,26.08695652173913,37.03703703703704
12.4,26.08695652173913,37.03703703703704
12.5,26.08695652173913,37.03703703703704
12.600000000000001,26.08695652173913,37.03703703703704
12.700000000000001,26.08695652173913,37.03703703703704
12.8,21.73913043478261,37.03703703703704
12.9,21.73913043478261,37.03703703703704
13.0,17.391304347826086,37.03703703703704
