ando,fast,2022-06-14,16:37:45.65,D,oボタン
ando,fast,2022-06-14,16:37:45.75,U,oボタン
ando,fast,2022-06-14,16:37:45.82,D,rボタン 00:00:00.067
ando,fast,2022-06-14,16:37:45.87,D,iボタン 00:00:00.121
ando,fast,2022-06-14,16:37:45.91,U,rボタン 
ando,fast,2022-06-14,16:37:45.93,U,iボタン 
ando,fast,2022-06-14,16:37:46.02,D,nボタン 00:00:00.086
ando,fast,2022-06-14,16:37:46.08,U,nボタン 
ando,fast,2022-06-14,16:37:46.12,D,nボタン 00:00:00.046
ando,fast,2022-06-14,16:37:46.24,U,nボタン 
ando,fast,2022-06-14,16:37:46.28,D,pボタン 00:00:00.035
ando,fast,2022-06-14,16:37:46.42,U,pボタン 
ando,fast,2022-06-14,16:37:46.50,D,iボタン 00:00:00.080
ando,fast,2022-06-14,16:37:46.58,U,iボタン 
ando,fast,2022-06-14,16:37:46.69,D,kボタン 00:00:00.108
ando,fast,2022-06-14,16:37:46.76,U,kボタン 
ando,fast,2022-06-14,16:37:46.81,D,kボタン 00:00:00.053
ando,fast,2022-06-14,16:37:46.89,D,uボタン 00:00:00.137
ando,fast,2022-06-14,16:37:46.98,U,kボタン 
ando,fast,2022-06-14,16:37:47.00,U,uボタン 
ando,fast,2022-06-14,16:37:47.09,D,hボタン 00:00:00.090
ando,fast,2022-06-14,16:37:47.16,D,aボタン 00:00:00.159
ando,fast,2022-06-14,16:37:47.19,U,hボタン 
ando,fast,2022-06-14,16:37:47.30,U,aボタン 
ando,fast,2022-06-14,16:37:47.33,D,kボタン 00:00:00.029
ando,fast,2022-06-14,16:37:47.44,U,kボタン 
ando,fast,2022-06-14,16:37:47.50,D,iボタン 00:00:00.069
ando,fast,2022-06-14,16:37:47.57,U,iボタン 
ando,fast,2022-06-14,16:37:47.66,D,kボタン 00:00:00.097
ando,fast,2022-06-14,16:37:47.74,D,aボタン 00:00:00.173
ando,fast,2022-06-14,16:37:47.76,U,kボタン 
ando,fast,2022-06-14,16:37:47.82,D,iボタン 00:00:00.064
ando,fast,2022-06-14,16:37:47.87,U,aボタン 
ando,fast,2022-06-14,16:37:47.90,U,iボタン 
ando,fast,2022-06-14,16:37:48.03,D,tボタン 00:00:00.129
ando,fast,2022-06-14,16:37:48.09,D,aボタン 00:00:00.185
ando,fast,2022-06-14,16:37:48.15,U,tボタン 
ando,fast,2022-06-14,16:37:48.19,D,iボタン 00:00:00.039
ando,fast,2022-06-14,16:37:48.21,U,aボタン 
ando,fast,2022-06-14,16:37:48.28,U,iボタン 
ando,fast,2022-06-14,16:37:48.31,D,sボタン 00:00:00.032
ando,fast,2022-06-14,16:37:48.38,D,oボタン 00:00:00.102
ando,fast,2022-06-14,16:37:48.47,D,uボタン 00:00:00.196
ando,fast,2022-06-14,16:37:48.49,U,sボタン 
ando,fast,2022-06-14,16:37:48.55,U,uボタン 
ando,fast,2022-06-14,16:37:48.57,U,oボタン 
ando,fast,2022-06-14,16:37:48.65,D,nボタン 00:00:00.074
ando,fast,2022-06-14,16:37:48.71,D,oボタン 00:00:00.135
ando,fast,2022-06-14,16:37:48.78,U,nボタン 
ando,fast,2022-06-14,16:37:48.82,U,oボタン 
ando,fast,2022-06-14,16:37:48.84,D,sボタン 00:00:00.019
ando,fast,2022-06-14,16:37:48.88,D,eボタン 00:00:00.058
ando,fast,2022-06-14,16:37:48.96,D,nボタン 00:00:00.133
ando,fast,2022-06-14,16:37:49.01,U,eボタン 
ando,fast,2022-06-14,16:37:49.03,U,sボタン 
ando,fast,2022-06-14,16:37:49.15,U,nボタン 
ando,fast,2022-06-14,16:37:49.21,D,sボタン 00:00:00.058
ando,fast,2022-06-14,16:37:49.30,D,yボタン 00:00:00.152
ando,fast,2022-06-14,16:37:49.34,D,uボタン 00:00:00.193
ando,fast,2022-06-14,16:37:49.41,U,sボタン 
ando,fast,2022-06-14,16:37:49.45,U,yボタン 
ando,fast,2022-06-14,16:37:49.49,U,uボタン 
ando,fast,2022-06-14,16:37:50.13,D,nボタン 00:00:00.645
ando,fast,2022-06-14,16:37:50.17,D,iボタン 00:00:00.685
ando,fast,2022-06-14,16:37:50.24,U,nボタン 
ando,fast,2022-06-14,16:37:50.30,U,iボタン 
ando,fast,2022-06-14,16:37:50.34,D,hボタン 00:00:00.045
ando,fast,2022-06-14,16:37:50.43,D,aボタン 00:00:00.130
ando,fast,2022-06-14,16:37:50.45,U,hボタン 
ando,fast,2022-06-14,16:37:50.55,U,aボタン 
ando,fast,2022-06-14,16:37:50.84,D,mボタン 00:00:00.289
ando,fast,2022-06-14,16:37:50.87,D,aボタン 00:00:00.319
ando,fast,2022-06-14,16:37:50.95,U,mボタン 
ando,fast,2022-06-14,16:37:51.00,U,aボタン 
ando,fast,2022-06-14,16:37:51.10,D,tボタン 00:00:00.095
ando,fast,2022-06-14,16:37:51.13,D,aボタン 00:00:00.126
ando,fast,2022-06-14,16:37:51.22,U,tボタン 
ando,fast,2022-06-14,16:37:51.30,U,aボタン 
ando,fast,2022-06-14,16:37:51.65,D,tボタン 00:00:00.347
ando,fast,2022-06-14,16:37:51.71,D,oボタン 00:00:00.405
ando,fast,2022-06-14,16:37:51.75,U,tボタン 
ando,fast,2022-06-14,16:37:51.81,U,oボタン 
ando,fast,2022-06-14,16:37:52.15,D,nボタン 00:00:00.341
ando,fast,2022-06-14,16:37:52.20,D,aボタン 00:00:00.390
ando,fast,2022-06-14,16:37:52.23,U,nボタン 
ando,fast,2022-06-14,16:37:52.30,D,iボタン 00:00:00.072
